EMA12,EMA20,EMA26,EMA5,RSI,datetime,price,signal
,,,,,2018-06-13 12:49:19,91.07000000,
,,,,,2018-06-13 13:04:19,91.18000000,
,,,,,2018-06-13 13:19:19,91.14000000,
,,,,,2018-06-13 13:34:20,91.99000000,
,,,,,2018-06-13 13:49:20,92.70000000,
,,,91.76911416899591,,2018-06-13 14:04:20,95.05000000,
,,,92.59126518642647,,2018-06-13 14:19:20,93.77000000,
,,,92.86377288651262,,2018-06-13 14:34:21,93.16000000,
,,,92.92810586730242,,2018-06-13 14:49:21,93.33000000,
,,,93.01119060070988,,2018-06-13 15:04:21,93.78000000,
,,,93.16400604857333,,2018-06-13 15:19:21,92.80000000,
,,,93.09390339947363,,2018-06-13 15:34:22,93.63000000,
93.00543858779092,,,93.19453988439247,56.860706860706884,2018-06-13 15:49:22,92.39000000,
92.93223866213567,,,93.04662522592054,57.0837642192347,2018-06-13 16:04:22,92.55000000,
92.88860858433598,,,92.956863090462,52.92425695110259,2018-06-13 16:19:22,91.75000000,
92.7633075233425,,,92.74175772701062,46.60678642714574,2018-06-13 16:34:23,91.31000000,
92.6085024548351,,,92.48948662692409,46.339017051153434,2018-06-13 16:49:23,91.97000000,
92.54244476949981,,,92.39881883072576,32.36409608091027,2018-06-13 17:04:23,92.26000000,
92.51397913158699,,,92.37477941350421,36.62374821173111,2018-06-13 17:19:23,91.90000000,
92.45354247363097,,,92.29309264481911,39.62848297213621,2018-06-13 17:34:24,91.82000000,
92.39249335648127,92.43722660044443,,92.21213209128875,39.72179289026279,2018-06-13 17:49:24,92.00000000,
92.35539326724486,92.40474853114381,,92.17599115770896,38.29113924050631,2018-06-13 18:04:24,92.30000000,
92.3502478324108,92.39716967478046,,92.19704058587293,44.48529411764711,2018-06-13 18:19:25,92.20000000,
92.33651076276391,92.3832482147164,,92.19754138103279,47.56944444444443,2018-06-13 18:34:25,93.35000000,
92.42784850378591,92.44997333155808,,92.3920647493894,61.22004357298475,2018-06-13 18:49:25,93.42000000,
92.51609843395319,92.51552168943593,,92.56520222133045,63.74745417515281,2018-06-13 19:04:25,93.90000000,
92.63773113603162,92.60724577815947,92.5977281181115,92.78962899712923,77.1561771561771,2018-06-13 19:19:26,94.08000000,buy
92.76311854864774,92.70303351619376,92.68363656843295,93.00626787107696,73.2300884955751,2018-06-13 19:34:26,93.41000000,buy
92.81879926152851,92.74822721077884,92.72487196448276,93.07396724510352,66.08478802992525,2018-06-13 19:49:26,93.26000000,buy
92.85643145270213,92.78041797016475,92.75466313688385,93.10513024143513,69.50672645739907,2018-06-13 20:04:26,94.00000000,buy
